import time: self [us] | cumulative | imported package
import time:     22158 |      47286 |           idna.core
import time:     14238 |      14238 |           idna.package_data
import time:     16684 |      78207 |         idna
import time:      1988 |       1988 |         rfc3987
import time:       922 |        922 |         rfc3986_validator
import time:      1785 |       1785 |         rfc3987_syntax
import time:      2387 |       2387 |         rfc3339_validator
import time:      1636 |       1636 |         webcolors
import time:      1426 |       1426 |         jsonpointer
import time:      1920 |       1920 |         uri_template
import time:      5926 |       5926 |             isoduration.constants
import time:     10223 |      10223 |               isoduration.formatter.exceptions
import time:     20739 |      30962 |             isoduration.formatter.checking
import time:     14602 |      14602 |             isoduration.formatter.formatting
import time:     28024 |      79512 |           isoduration.formatter
import time:     21561 |      21561 |             isoduration.parser.exceptions
import time:     16421 |      16421 |                 arrow._version
import time:     16798 |      16798 |                       dateutil._version
import time:     41142 |      57940 |                     dateutil
import time:        80 |         80 |                       six.moves
import time:      8308 |       8308 |                       dateutil.tz._common
import time:     22644 |      22644 |                       dateutil.tz._factories
import time:        64 |         64 |                         six.moves.winreg
import time:     24206 |      24270 |                       dateutil.tz.win
import time:     18013 |      73313 |                     dateutil.tz.tz
import time:     12751 |      12751 |                       dateutil._common
import time:     14385 |      27135 |                     dateutil.relativedelta
import time:     12949 |      12949 |                       arrow.locales
import time:      8042 |       8042 |                       arrow.constants
import time:     12469 |      33458 |                     arrow.formatter
import time:      9291 |       9291 |                         dateutil.rrule
import time:      8715 |      18005 |                       arrow.util
import time:     14126 |      32130 |                     arrow.parser
import time:     31027 |     255001 |                   arrow.arrow
import time:      8870 |       8870 |                   arrow.factory
import time:     18639 |     282510 |                 arrow.api
import time:     17273 |     316202 |               arrow
import time:     18472 |      18472 |               isoduration.parser.util
import time:     19033 |      19033 |                   isoduration.operations.util
import time:     19547 |      38580 |                 isoduration.operations
import time:     14411 |      52990 |               isoduration.types
import time:     17463 |     405126 |             isoduration.parser.parsing
import time:     19959 |     446644 |           isoduration.parser
import time:     17649 |     543805 |         isoduration
import time:     29180 |     954965 |       jsonschema._format
import time:      9810 |       9810 |       jsonschema._types
import time:      9409 |       9409 |           referencing.jsonschema
import time:     13455 |      13455 |           jsonschema_specifications._core
import time:        67 |         67 |               importlib.resources._itertools
import time:      1085 |       1151 |             importlib.resources.readers
import time:      1093 |       2244 |           importlib.readers
import time:    202209 |     227314 |         jsonschema_specifications
import time:     12455 |      12455 |         jsonschema._keywords
import time:     10559 |      10559 |         jsonschema._legacy_keywords
import time:      9271 |       9271 |           jsonschema.protocols
import time:     10818 |      20088 |         jsonschema._typing
import time:     18412 |     288826 |       jsonschema.validators
import time:     17237 |    1270837 |     jsonschema
import time:      1031 |       1031 |       email.feedparser
